Configuration,IsEqual,Precision,Recall,F-measure
00003,1,1.0,1.0,1.0
00012,0,0.8239845037460327,0.8747433423995972,0.8486055731773376
00013,0,0.8524971008300781,0.8340908885002136,0.843193531036377
00015,0,0.846666693687439,0.9769230484962463,0.9071428775787354
00016,0,0.8429751992225647,0.9714285731315613,0.9026548862457275
00018,0,0.915730357170105,0.9819276928901672,0.9476743936538696
00021,0,0.8192771077156067,0.9532710313796997,0.8812094330787659
00024,0,0.8270997405052185,0.9527589082717896,0.8854935169219971
