Configuration,IsEqual,Precision,Recall,F-measure
00001,0,1.0,0.93955397605896,0.9688351154327393
00002,0,1.0,0.9741041660308838,0.986882209777832
00003,0,1.0,0.911389172077179,0.9536406397819519
00004,0,1.0,0.9328140020370483,0.9652392864227295
00005,0,1.0,0.8835341334342957,0.9381662607192993
00006,0,1.0,0.9285924434661865,0.9629742503166199
00007,0,1.0,0.8917117118835449,0.9427564740180969
00008,0,1.0,0.92366623878479,0.9603186249732971
00009,0,1.0,0.9344936609268188,0.966137707233429
00010,0,1.0,0.937457263469696,0.9677191376686096
00011,0,1.0,0.9161490797996521,0.9562398195266724
00012,0,1.0,0.892405092716217,0.9431438446044922
00013,0,1.0,0.9806860089302063,0.9902488589286804
00014,0,1.0,0.9408227801322937,0.9695091843605042
00015,0,1.0,0.9396519660949707,0.968887209892273
00016,0,1.0,0.9173533320426941,0.9568954110145569
00017,0,1.0,0.9319620132446289,0.9647829532623291
00018,0,1.0,0.9166894555091858,0.9565341472625732
00019,0,1.0,0.9350649118423462,0.9664429426193237
00020,0,1.0,0.9578027725219727,0.9784466624259949
00021,0,1.0,0.9905263185501099,0.9952406287193298
00022,0,1.0,0.9164158701896667,0.9563851356506348
00023,0,1.0,0.9324073791503906,0.965021550655365
00024,0,1.0,0.9265832304954529,0.9618927240371704
00025,0,1.0,0.8871913552284241,0.9402241110801697
00026,0,1.0,0.9940762519836426,0.9970293045043945
00027,0,1.0,0.9287393689155579,0.963053286075592
00028,0,1.0,0.9724612832069397,0.9860384464263916
00029,0,1.0,0.9159951210021973,0.9561560153961182
00030,0,1.0,0.9569995403289795,0.97802734375
00031,0,1.0,0.8834536075592041,0.9381209015846252
00032,0,1.0,0.8879275918006897,0.9406373500823975
00033,0,1.0,0.9334876537322998,0.9655998349189758
00034,0,1.0,0.9876582026481628,0.9937907457351685
00035,0,1.0,0.9903643727302551,0.9951589107513428
00036,0,1.0,0.9876582026481628,0.9937907457351685
00037,0,1.0,0.8772097229957581,0.9345889687538147
00038,0,1.0,0.8806468844413757,0.9365361332893372
00039,0,1.0,0.9332278370857239,0.9654608368873596
00040,0,1.0,0.9966679215431213,0.9983311891555786
00041,0,1.0,0.9125419855117798,0.9542713165283203
00042,0,1.0,0.9202685952186584,0.9584790468215942
00043,0,1.0,0.9675286412239075,0.9834964275360107
00044,0,1.0,0.9857894778251648,0.9928438663482666
00045,0,1.0,0.9897471070289612,0.9948471784591675
00046,0,1.0,0.8905063271522522,0.942082405090332
00047,0,1.0,0.8917748928070068,0.942791759967804
00048,0,1.0,0.9585499167442322,0.9788362979888916
00049,0,1.0,0.9741041660308838,0.986882209777832
00050,0,1.0,0.8852755427360535,0.9391470551490784
00051,0,1.0,0.9287393689155579,0.963053286075592
00052,0,1.0,0.9260923862457275,0.9616281986236572
00053,0,1.0,0.8793103694915771,0.9357798099517822
00054,0,1.0,0.9818241000175476,0.9908286929130554
00055,0,1.0,0.9408950805664062,0.9695475697517395
00056,0,1.0,0.9961403608322144,0.9980664253234863
00057,0,1.0,0.9184873700141907,0.9575120806694031
00058,0,1.0,0.8701754212379456,0.9305816292762756
00059,0,1.0,0.8899099230766296,0.9417484998703003
00060,0,1.0,0.9679890275001526,0.9837341904640198
00061,0,1.0,0.8901330828666687,0.9418734312057495
00062,0,1.0,0.8803626298904419,0.9363753795623779
00063,0,1.0,0.9234586954116821,0.9602064490318298
00064,0,1.0,0.9319620132446289,0.9647829532623291
00065,0,1.0,0.8803626298904419,0.9363753795623779
00066,0,1.0,0.9770790338516235,0.9884066581726074
00067,0,1.0,0.9334537982940674,0.9655817151069641
00068,0,1.0,0.909937858581543,0.9528455138206482
00069,0,1.0,0.9357309341430664,0.9667985439300537
00070,0,1.0,0.8746031522750854,0.9331074953079224
00071,0,1.0,0.8815321326255798,0.9370364546775818
00072,0,1.0,0.8865936994552612,0.9398883581161499
00073,0,1.0,0.9679890275001526,0.9837341904640198
00074,0,1.0,0.8716727495193481,0.9314371347427368
00075,0,1.0,0.9249234199523926,0.9609976410865784
00076,0,1.0,0.914862334728241,0.9555384516716003
00077,0,1.0,0.9806860089302063,0.9902488589286804
00078,0,1.0,0.934959352016449,0.9663864970207214
00079,0,1.0,0.9268502593040466,0.9620366096496582
00080,0,1.0,0.9407259225845337,0.9694578051567078
00081,0,1.0,0.9210986495018005,0.9589290022850037
00082,0,1.0,0.9291666746139526,0.9632829427719116
00084,0,1.0,0.8908950686454773,0.9422998428344727
00085,0,1.0,0.9332226514816284,0.9654580354690552
00086,0,1.0,0.909937858581543,0.9528455138206482
00087,0,1.0,0.912617564201355,0.9543126225471497
00088,0,1.0,0.9253078103065491,0.9612051248550415
00089,0,1.0,0.8821138143539429,0.9373649954795837
00090,0,1.0,0.875033438205719,0.9333524107933044
00091,0,1.0,0.9671682715415955,0.9833101034164429
00092,0,1.0,0.9770790338516235,0.9884066581726074
00093,0,1.0,0.9647335410118103,0.9820502400398254
00094,0,1.0,0.9131603837013245,0.9546093940734863
00095,0,1.0,0.9100891947746277,0.9529284238815308
00096,0,1.0,0.8929097652435303,0.9434255957603455
00097,0,1.0,0.9098626971244812,0.9528042674064636
00098,0,1.0,0.938911497592926,0.9684934616088867
00099,0,1.0,0.9081140160560608,0.9518446326255798
00100,0,1.0,0.9234586954116821,0.9602064490318298
00101,0,1.0,0.9753158688545227,0.987503707408905
00102,0,1.0,0.8806082606315613,0.9365142583847046
00103,0,1.0,0.9386534690856934,0.9683561325073242
00104,0,1.0,0.912617564201355,0.9543126225471497
00105,0,1.0,0.9521848559379578,0.9755068421363831
00106,0,1.0,0.9244203567504883,0.9607260227203369
00107,0,1.0,0.9848739504814148,0.9923793077468872
00108,0,1.0,0.8746031522750854,0.9331074953079224
00109,0,1.0,0.9350860118865967,0.9664542078971863
00110,0,1.0,0.9679890275001526,0.9837341904640198
00111,0,1.0,0.9222133159637451,0.9595327377319336
00112,0,1.0,0.9896729588508606,0.9948096871376038
00113,0,1.0,0.9274239540100098,0.9623456001281738
00114,0,1.0,0.9243517518043518,0.9606890082359314
00115,0,1.0,0.9294739961624146,0.9634480476379395
00116,0,1.0,0.8827731013298035,0.9377371072769165
00117,0,1.0,0.8806468844413757,0.9365361332893372
00118,0,1.0,0.8908950686454773,0.9422998428344727
00119,0,1.0,0.9770790338516235,0.9884066581726074
00120,0,1.0,0.8719541430473328,0.9315977096557617
00121,0,1.0,0.9379859566688538,0.9680008292198181
00122,0,1.0,0.9173533320426941,0.9568954110145569
00123,0,1.0,0.9689132571220398,0.9842112064361572
00124,0,1.0,0.9296476244926453,0.9635413289070129
00125,0,1.0,0.9242134094238281,0.9606142640113831
00126,0,1.0,0.964715301990509,0.9820408225059509
00127,0,1.0,0.8871913552284241,0.9402241110801697
00128,0,1.0,0.9789029359817505,0.9893389940261841
00129,0,1.0,0.9380180239677429,0.9680178165435791
00130,0,1.0,0.8815321326255798,0.9370364546775818
00131,0,1.0,0.8936728239059448,0.9438513517379761
00132,0,1.0,0.9223469495773315,0.9596050977706909
