Configuration,IsEqual,Precision,Recall,F-measure
00001,1,1.0,1.0,1.0
00002,0,0.8888888955116272,0.800000011920929,0.8421052694320679
00003,0,0.8888888955116272,0.5333333611488342,0.6666666865348816
00004,0,0.6666666865348816,0.1818181872367859,0.2857142984867096
00005,0,1.0,0.4000000059604645,0.5714285969734192
00006,1,1.0,1.0,1.0
00008,0,0.8888888955116272,0.800000011920929,0.8421052694320679
00009,0,0.9230769276618958,0.8571428656578064,0.8888888955116272
00010,0,0.9166666865348816,0.5789473652839661,0.7096773982048035
00011,0,1.0,0.46666666865348816,0.6363636255264282
00012,0,0.6666666865348816,0.2222222238779068,0.3333333432674408
00013,0,0.6666666865348816,0.20000000298023224,0.3076923191547394
00014,0,1.0,0.7333333492279053,0.8461538553237915
00016,0,1.0,0.3684210479259491,0.5384615063667297
00017,0,0.6666666865348816,0.2222222238779068,0.3333333432674408
00018,0,0.6666666865348816,0.1538461595773697,0.2500000298023224
00019,0,0.6666666865348816,0.20000000298023224,0.3076923191547394
00020,0,0.6666666865348816,0.1428571492433548,0.2352941334247589
