Configuration,IsEqual,Precision,Recall,F-measure
00003,1,1.0,1.0,1.0
00005,0,0.75,0.75,0.75
00007,1,1.0,1.0,1.0
00008,0,0.9130434989929199,0.7241379022598267,0.807692289352417
00009,0,0.8333333134651184,0.6451612710952759,0.7272726893424988
00011,1,1.0,1.0,1.0
00012,0,0.9166666865348816,0.7333333492279053,0.8148148059844971
00015,0,0.807692289352417,0.8399999737739563,0.8235294222831726
00016,0,0.9200000166893005,0.7419354915618896,0.8214285373687744
00017,0,0.7567567825317383,0.7567567825317383,0.7567567825317383
00019,1,1.0,1.0,1.0
00021,1,1.0,1.0,1.0
00023,1,1.0,1.0,1.0
00025,0,0.9166666865348816,0.7333333492279053,0.8148148059844971
00026,0,0.8399999737739563,0.65625,0.7368420958518982
00029,0,0.9200000166893005,0.7419354915618896,0.8214285373687744
00031,0,0.9230769276618958,0.75,0.8275862336158752
