Configuration,IsEqual,Precision,Recall,F-measure
00003,0,0.1875,0.6521739363670349,0.29126212000846863
00005,0,0.21794871985912323,0.7083333134651184,0.3333333134651184
00007,0,0.18987341225147247,0.625,0.29126212000846863
00008,0,0.17582418024539948,0.5517241358757019,0.2666666805744171
00009,0,0.19811320304870605,0.6774193644523621,0.30656933784484863
00011,0,0.16129031777381897,0.6000000238418579,0.2542372941970825
00012,0,0.15555556118488312,0.46666666865348816,0.23333333432674408
00015,0,0.18888889253139496,0.6800000071525574,0.2956521809101105
00016,0,0.145454540848732,0.5161290168762207,0.22695034742355347
00017,0,0.14864864945411682,0.5945945978164673,0.23783785104751587
00019,0,0.22033898532390594,0.6842105388641357,0.3333333134651184
00021,0,0.3214285671710968,0.9473684430122375,0.47999998927116394
00023,0,0.2545454502105713,0.7368420958518982,0.37837836146354675
00025,0,0.18681319057941437,0.5666666626930237,0.28099173307418823
00026,0,0.2075471729040146,0.6875,0.31884056329727173
00029,0,0.1666666716337204,0.4838709533214569,0.24793387949466705
00031,0,0.15454545617103577,0.53125,0.23943664133548737
