Configuration,IsEqual,Precision,Recall,F-measure
00003,0,1.0,0.95652174949646,0.9777777791023254
00005,0,0.8999999761581421,0.75,0.8181817531585693
00007,0,1.0,0.9583333134651184,0.978723406791687
00008,0,1.0,0.5862069129943848,0.739130437374115
00009,0,0.9090909361839294,0.6451612710952759,0.7547169923782349
00011,0,1.0,0.9599999785423279,0.9795917868614197
00012,0,0.95652174949646,0.7333333492279053,0.8301886916160583
00015,0,0.9583333134651184,0.9200000166893005,0.9387754797935486
00016,0,0.9583333134651184,0.7419354915618896,0.836363673210144
00017,0,0.9210526347160339,0.9459459185600281,0.9333333373069763
00019,1,1.0,1.0,1.0
00021,0,1.0,0.9473684430122375,0.9729729890823364
00023,0,1.0,0.9473684430122375,0.9729729890823364
00025,0,1.0,0.6000000238418579,0.75
00026,0,0.9130434989929199,0.65625,0.7636364102363586
00029,0,0.9583333134651184,0.7419354915618896,0.836363673210144
00031,0,0.9599999785423279,0.75,0.8421052098274231
